Title,Date,Source Type,Publication Title
Oil Prices Tumble for Third Straight Day,2/26/1987,Historical Newspapers,The Washington Post
Energy Prices Up a Bit; Technical Factors Cited,2/27/1987,Historical Newspapers,New York Times
Oil Rises Amid Buying by Profit-Takers And Some Bargain Hunting by Refiners,2/27/1987,Historical Newspapers,Wall Street Journal
"Cattle Contracts Surge; Grains Up, Energy Off",2/28/1987,Historical Newspapers,New York Times
Tokyo Stocks Close At Record Levels; London Issues Slip,3/2/1987,Historical Newspapers,Wall Street Journal
"Rise of Standard Oil's Taylor Shows Benefits of Self-Assurance, Visibility",3/2/1987,Historical Newspapers,Wall Street Journal
"Cogeneration, After Slow Start, Quickly Coming of Age",3/2/1987,Historical Newspapers,Wall Street Journal
Corynomics and Philippine Prosperity,3/2/1987,Historical Newspapers,Wall Street Journal
Coffee Contracts Slump Amid Impasse in Talks,3/3/1987,Historical Newspapers,New York Times
"Canadian Shell Unit, Petro-Canada Reduce Posted Crude Oil Prices",3/3/1987,Historical Newspapers,Wall Street Journal
Saudi Arabia Leads OPEC in Showdown With Oil Firms Over Prices and Supplies,3/3/1987,Historical Newspapers,Wall Street Journal
Coffee Prices Plunge on Growing Fears Quota Talks Will End Without Accord,3/3/1987,Historical Newspapers,Wall Street Journal
Oil Prices Surge on OPEC Reports,3/4/1987,Historical Newspapers,New York Times
Dow Rises by 6.05 in Light Trading,3/4/1987,Historical Newspapers,New York Times
Oil Gains Push Stocks Higher In Lackluster Trading Session,3/4/1987,Historical Newspapers,The Washington Post
Oil Prices Surge Amid Increasing Signs OPEC Will Hold to Fixed-Pricing Policy,3/4/1987,Historical Newspapers,Wall Street Journal
G.M. Plan Spurs Dow to a 30.93 Rise,3/5/1987,Historical Newspapers,New York Times
"Oil Prices Rise Again, But Traders Expect Fall",3/5/1987,Historical Newspapers,New York Times
Industrials Close at Record 2257.45 As GM Buyback Helps Stir Stocks,3/5/1987,Historical Newspapers,Wall Street Journal
Gas Lines Ahead?,3/5/1987,Historical Newspapers,The Washington Post
Oil Prices Up For Second Straight Day,3/5/1987,Historical Newspapers,The Washington Post
Coffee Contracts Ease as Traders Take Respite After Tuesday's Frantic Session,3/5/1987,Historical Newspapers,Wall Street Journal
Coffee Extends Plunge As Oversupply Persists,3/6/1987,Historical Newspapers,New York Times
OPEC Output May Be Down,3/6/1987,Historical Newspapers,New York Times
"Rise in Oil Use Is Expected to Slow in '87, Complicating OPEC's Push to Firm Price",3/6/1987,Historical Newspapers,Wall Street Journal
World Oil Prices Show Sudden Rebound,3/6/1987,Historical Newspapers,The Washington Post
Oil Prices Rise for Third Day in a Row As OPEC Signals Production Restraint,3/6/1987,Historical Newspapers,Wall Street Journal
Oil Prices Rise Again And Top $18 a Barrel,3/7/1987,Historical Newspapers,New York Times
Concern Grows Over Rise in U.S. Oil Imports,3/8/1987,Historical Newspapers,The Washington Post
4-Month Disruption of Ecuador Oil,3/9/1987,Historical Newspapers,New York Times
"Quakes in Ecuador Kill Over 100, Halt Oil Exports",3/9/1987,Historical Newspapers,Wall Street Journal
Energy Prices Decline; Profit Taking Is Cited,3/10/1987,Historical Newspapers,New York Times
"Cattle Prices Higher; Soybeans, Grains Fall",3/11/1987,Historical Newspapers,New York Times
Refinery Reports Lift Prices of Oil Contracts,3/12/1987,Historical Newspapers,New York Times
Oil Surges on Decline in U.S. Inventories And Drop in Use of Capacity by Refiners,3/12/1987,Historical Newspapers,Wall Street Journal
Cattle Contracts Surge On Enhanced Demand,3/13/1987,Historical Newspapers,New York Times
Inflation Declines to 0.1% in Feb.,3/14/1987,Historical Newspapers,The Washington Post
Producer Prices Climbed 0.1% For February,3/16/1987,Historical Newspapers,Wall Street Journal
Canadian Oil Refiners Raise Purchase Prices For Various Crudes,3/16/1987,Historical Newspapers,Wall Street Journal
Beyond Bauhaus: Arco's Cook Settles In,3/16/1987,Historical Newspapers,Wall Street Journal
An Appraisal: Oil-Sensitive Issues React Differently to Price Swings,3/16/1987,Historical Newspapers,Wall Street Journal
Ashland Oil to Post Loss From Operations For Fiscal 2nd Quarter,3/17/1987,Historical Newspapers,Wall Street Journal
Many Traders Become Spectators As Stocks Decline in Slow Session,3/17/1987,Historical Newspapers,Wall Street Journal
Heating Oil Quotes Lead Market Higher Amid Signs of OPEC Output Restraint,3/17/1987,Historical Newspapers,Wall Street Journal
"Dow Surges 36.36, to Record 2,284.80",3/18/1987,Historical Newspapers,New York Times
Article 2 -- No Title,3/18/1987,Historical Newspapers,New York Times
"Oil, Technology Issues Lead Rally As Industrials Jump 36.36 to High",3/18/1987,Historical Newspapers,Wall Street Journal
London Shares Close at Record on Heels Of British Budget; Tokyo Issues Advance,3/18/1987,Historical Newspapers,Wall Street Journal
Stock-Index Prices Rally as U.S. Reports Higher-Than-Expected Housing Starts,3/18/1987,Historical Newspapers,Wall Street Journal
BUSINESS BRIEFS,3/18/1987,Historical Newspapers,Wall Street Journal
Stock Market Hits Record High as Dow Jumps 36 Points,3/18/1987,Historical Newspapers,The Washington Post
U.S. Crude Oil Prices Go Briefly Above $19,3/19/1987,Historical Newspapers,New York Times
"Stock Prices Run Into Roadblock, End Session With Small Advance",3/19/1987,Historical Newspapers,Wall Street Journal
British Pound Prices Climb as Traders React Favorably to Forecast on Deficit,3/19/1987,Historical Newspapers,Wall Street Journal
Petrofina's Allure Lies in Way It Beat Plunging Oil Prices,3/19/1987,Historical Newspapers,Wall Street Journal
Article 2 -- No Title,3/20/1987,Historical Newspapers,New York Times
Phillips's Global Energy Reserves Fall; Firm Spent Little on Exploration in '86,3/20/1987,Historical Newspapers,Wall Street Journal
"Saudis, Front Liners in Oil-Price Fight, Cut Output Close to a Record Low Level",3/20/1987,Historical Newspapers,Wall Street Journal
Crude Oil Prices Ease in a Session Of Uneasy Trading,3/20/1987,Historical Newspapers,Wall Street Journal
Pork Belly Contracts Are Up for a Third Day,3/21/1987,Historical Newspapers,New York Times
Energy Prices Climb; Silver Also Moves Up,3/25/1987,Historical Newspapers,New York Times
Board of Trade Seat Is Sold,3/25/1987,Historical Newspapers,Wall Street Journal
Oil Prices Surge as Supplies Tighten Amid New Signs of OPEC Output Curbs,3/25/1987,Historical Newspapers,Wall Street Journal
Energy Prices Plunge Amid Signs of a Glut,3/26/1987,Historical Newspapers,New York Times
Short-Term Hog Prices Climb Further; Later Contracts Slip on Herd Concerns,3/26/1987,Historical Newspapers,Wall Street Journal
B.P. Seeks Balance of Standard,3/27/1987,Historical Newspapers,New York Times
Cattle Prices Are Down After 7 Straight Gains,3/27/1987,Historical Newspapers,New York Times
Stock-Index Prices Mixed on Late Bout Of Profit-Taking,3/27/1987,Historical Newspapers,Wall Street Journal
Industrials Are Nudged to Record By New Buying Surge in Oil Patch,3/27/1987,Historical Newspapers,Wall Street Journal
"From Its 1863 Start, Standard Oil Grew, Shrank, Grew Again",3/27/1987,Historical Newspapers,Wall Street Journal
British Petroleum Bids $7.4 Billion For the Rest of Standard oil Stock,3/27/1987,Historical Newspapers,Wall Street Journal
BP Seeks Standard,3/27/1987,Historical Newspapers,The Washington Post
TECHNOLOGY,3/27/1987,Historical Newspapers,Wall Street Journal
BUSINESS BRIEFS,3/30/1987,Historical Newspapers,Wall Street Journal
Two Big Banks to Close Their Units in Hong Kong,3/31/1987,Historical Newspapers,Wall Street Journal
Californians Will Pay Dearly for PURPA Power,3/31/1987,Historical Newspapers,Wall Street Journal
Livestock Contracts Up As Grain Prices Retreat,4/1/1987,Historical Newspapers,New York Times
Silver and Platinum Up As Gold Holds Steady,4/2/1987,Historical Newspapers,New York Times
Dow Rises 4.40 in a Wary Market,4/3/1987,Historical Newspapers,New York Times
Afternoon Rally Lifts Silver Price by 8.6 Cents,4/4/1987,Historical Newspapers,New York Times
Emirates Oil Output Down,4/6/1987,Historical Newspapers,New York Times
Phillips Seems to Be on Mend,4/6/1987,Historical Newspapers,New York Times
Petrofina Price Inquiry Ended,4/7/1987,Historical Newspapers,New York Times
Standard Oil Advisers Call B.P. Bid Inadequate,4/7/1987,Historical Newspapers,New York Times
Silver Extends Rally; Livestock and Meat Up,4/7/1987,Historical Newspapers,New York Times
Saudis to Expand Petrochemical Market; Nazer Tries to Calm Fears on Competition,4/7/1987,Historical Newspapers,Wall Street Journal
Silver Contracts Surge Despite Profit Taking,4/8/1987,Historical Newspapers,New York Times
Talking Deals,4/9/1987,Historical Newspapers,New York Times
Gasoline Contracts Sag Amid Growing Supplies,4/9/1987,Historical Newspapers,New York Times
"Gasoline Futures Prices Slide, Oil Slips, Amid Signs of Growing Supplies, Output",4/9/1987,Historical Newspapers,Wall Street Journal
Banks Begin Offering Oil-Price Swaps To Help Hedge Commodity-Market Risks,4/9/1987,Historical Newspapers,Wall Street Journal
Concern on Big Supply Of Gasoline,4/10/1987,Historical Newspapers,New York Times
Dollar's Drop Lifts Prices of Currencies And Precious Metals but Weakens Bonds,4/10/1987,Historical Newspapers,Wall Street Journal
"Norway Will Seek to Boost Oil Prices, Keep Output Low in Support of OPEC",4/10/1987,Historical Newspapers,Wall Street Journal
Cotton Rises the Limit; Oil Prices Slump Again,4/11/1987,Historical Newspapers,New York Times
Producer Prices Advance 0.4%,4/11/1987,Historical Newspapers,New York Times
Bond Prices Continue to Fall,4/11/1987,Historical Newspapers,New York Times
VA Raises Maximum Rate On Mortgages to 9.5 Pct.,4/11/1987,Historical Newspapers,The Washington Post
A Soviet Shift On Oil Pricing,4/13/1987,Historical Newspapers,New York Times
Texaco Stock Price Expected to Suffer,4/13/1987,Historical Newspapers,New York Times
"Texaco's Story, From the Beginning To chapter 11, Is About Lack of Oil",4/13/1987,Historical Newspapers,Wall Street Journal
Short Covering Helps Energy Contracts Gain,4/14/1987,Historical Newspapers,New York Times
"Stock-Index Prices Decline on Concern About weakening Bond Prices, Dollar",4/14/1987,Historical Newspapers,Wall Street Journal
Wall Street Batters Texaco and Pennzoil; Oil Industry Reacts to Bankruptcy Filing,4/14/1987,Historical Newspapers,Wall Street Journal
Both Stocks In Oil Feud Are Down,4/14/1987,Historical Newspapers,New York Times
Gold Prices Up Sharply; Silver Passes $7 Level,4/15/1987,Historical Newspapers,New York Times
Southdown to Record First-Quarter Charge Due to Stock Buyback,4/15/1987,Historical Newspapers,Wall Street Journal
Energy Prices Climb As Inventories Decline,4/16/1987,Historical Newspapers,New York Times
$181.5 Million Profit at Hess,4/16/1987,Historical Newspapers,New York Times
Industrials Advance as the Dollar Rebounds and Interest Rates Ease,4/16/1987,Historical Newspapers,Wall Street Journal
Oil Prices Rise as Drop in U. S. Supplies In Latest Week Is Larger Than Thought,4/16/1987,Historical Newspapers,Wall Street Journal
Grains Rally on Rumors Of a Soviet Wheat Deal,4/17/1987,Historical Newspapers,New York Times
Apache Petroleum's Battle to Reduce Debt And Sustain Cash Flow Has Shorts Stalking,4/17/1987,Historical Newspapers,Wall Street Journal
Foreign Currency Prices Fall Again On Dollar's Rally,4/17/1987,Historical Newspapers,Wall Street Journal
Egypt Oil Plan Draws Drillers,4/20/1987,Historical Newspapers,New York Times
Hampton Roads Coal Traffic Falls,4/20/1987,Historical Newspapers,The Washington Post
Precious Metals Surge Amid Dollar Weakness,4/21/1987,Historical Newspapers,New York Times
Technical Factors Help As Crude Oil Tops $19,4/22/1987,Historical Newspapers,New York Times
Amoco Profits Drop by 21.5%,4/22/1987,Historical Newspapers,New York Times
Amoco's Profit Declined 21% In 1st Quarter,4/22/1987,Historical Newspapers,Wall Street Journal
A Sneaky Supplemental for the World Bank,4/22/1987,Historical Newspapers,Wall Street Journal
Stock-Index Prices Jump on Strength Of Bond Rebound and Firmer Dollar,4/22/1987,Historical Newspapers,Wall Street Journal
Silver Rises Above $8 On Sales Halt by Peru,4/23/1987,Historical Newspapers,New York Times
Short Interest Advances 3.8% On Big Board,4/23/1987,Historical Newspapers,Wall Street Journal
Mobil's Profit Off 42.7%; Oil Price Situation Cited,4/23/1987,Historical Newspapers,New York Times
Stock Prices End Slightly Lower After an Active and Erratic Session,4/24/1987,Historical Newspapers,Wall Street Journal
Three Oil Firms Report Lower Quarterly Profit,4/24/1987,Historical Newspapers,Wall Street Journal
Silver Leads Advance As Demand Intensifies,4/24/1987,Historical Newspapers,New York Times
Profits Fall At 3 Oil Companies,4/24/1987,Historical Newspapers,New York Times
"Castro's Productivity Drive Leaves Many Cubans Weary, Uneasy",4/24/1987,Historical Newspapers,The Washington Post
Net Drops At Exxon And Shell,4/25/1987,Historical Newspapers,New York Times
Prices Rise 0.4% In March,4/25/1987,Historical Newspapers,The Washington Post
Exxon Earnings Slumped 37% In First Quarter,4/27/1987,Historical Newspapers,Wall Street Journal
Amoco Bid For Dome Advances,4/27/1987,Historical Newspapers,New York Times
Sharp Price Reversals Are Widespread In the Wake of Rebound by the Dollar,4/28/1987,Historical Newspapers,Wall Street Journal
A Bear in the Oil Patch,4/28/1987,Historical Newspapers,Wall Street Journal
Price Stability Encourages Oil Industry,4/28/1987,Historical Newspapers,Wall Street Journal
Livestock Posts Gains And Grains Are Mixed,4/29/1987,Historical Newspapers,New York Times
Lower Prices Hurt Profits of 3 Big Oil Concerns,4/29/1987,Historical Newspapers,New York Times
Chevron Profit Declined 47% In First Quarter,4/29/1987,Historical Newspapers,Wall Street Journal
Texaco Profit Plunged 64% In First Quarter,4/30/1987,Historical Newspapers,Wall Street Journal
"Mexican Economy Contracted by 3.8% During '86, Bank Says",4/30/1987,Historical Newspapers,Wall Street Journal
Bond Prices Plunge in Last Few Minutes On House Passage of Gephardt Provision,4/30/1987,Historical Newspapers,Wall Street Journal
U.S. Begins to Take Notice as Venezuela Lifts Its Estimates of Proven Oil Reserves,5/1/1987,Historical Newspapers,Wall Street Journal
Short-Covering Pushes Precious Metals Higher,5/1/1987,Historical Newspapers,New York Times
Phillips Sees Oil Price Rise,5/1/1987,Historical Newspapers,New York Times
Toyko: U.S. Trade Surplus Is Shrinking,5/2/1987,Historical Newspapers,The Washington Post
House Takes a Chance On a Tough Trade Bill,5/3/1987,Historical Newspapers,New York Times
Unocal Corp. Posts 14% Profit Decline For First Quarter,5/5/1987,Historical Newspapers,Wall Street Journal
Unocal Income Drops 13.5%,5/5/1987,Historical Newspapers,New York Times
Syrian-Iranian Oil Accord,5/5/1987,Historical Newspapers,New York Times
Silver Climbs by Limit In a Shortened Session,5/5/1987,Historical Newspapers,New York Times
Oil Prices Climb Above $19 a Barrel; Tightness in Supply Fuels 2-Week Surge,5/6/1987,Historical Newspapers,Wall Street Journal
"Saudi Arabia, Iran Are Using Offers Of Free Oil to Garner Syria's Support",5/6/1987,Historical Newspapers,Wall Street Journal
Silver and Gold Drop; Soybeans Also Decline,5/6/1987,Historical Newspapers,New York Times
Japan's Policies Are Expansionary,5/6/1987,Historical Newspapers,Wall Street Journal
Refined Oil Products Up In Price as Supplies Dip,5/7/1987,Historical Newspapers,New York Times
Business Failures in U.S. Up 7 1/2% in 1st Quarter,5/7/1987,Historical Newspapers,The Washington Post
Oil Prices Rise as Weekly U.S. Supplies Of Refined Products Fall Unexpectedly,5/7/1987,Historical Newspapers,Wall Street Journal
"Industrials Rise Slightly, but Drops In Bonds, Dollar Prevent Big Gain",5/7/1987,Historical Newspapers,Wall Street Journal
Wheat Prices Take Off Amid Rumors That the Soviets Made Purchase Offer,5/8/1987,Historical Newspapers,Wall Street Journal
Texaco v. Pennzoil--Anatomy of a Jury,5/8/1987,Historical Newspapers,Wall Street Journal
Bond Worries Prevent a Stock Rally,5/8/1987,Historical Newspapers,New York Times
Chevron Sells Danish Interest,5/8/1987,Historical Newspapers,New York Times
BUSINESS BRIEFS,5/8/1987,Historical Newspapers,Wall Street Journal
Bond Traders Add Japan to Their Worries,5/10/1987,Historical Newspapers,New York Times
U.S. Chip ' Industry's Gloomy Future,5/10/1987,Historical Newspapers,The Washington Post
"An Appraisal: Oil Shares Regain Their Allure, at Least Temporarily",5/11/1987,Historical Newspapers,Wall Street Journal
Prices Are Seen Reversing Course Soon Amid Gluts and Slow Economic Growth,5/11/1987,Historical Newspapers,Wall Street Journal
"Politics Helps London Shares to Record; Tokyo Sets High, but Brussels Declines",5/12/1987,Historical Newspapers,Wall Street Journal
"Commodity Prices Rise to 2-Year Highs, Triggering Retreats by Bonds and Stocks",5/12/1987,Historical Newspapers,Wall Street Journal
Grains and Soybeans Soar,5/12/1987,Historical Newspapers,New York Times
U.S. Urges Petroleum Stockpiling,5/12/1987,Historical Newspapers,The Washington Post
Oil Prices at Highest Level Since January of 1986,5/12/1987,Historical Newspapers,The Washington Post
"Grain, Soybean Prices Soar on Forecast Of Drought and Lead Commodity Rally",5/12/1987,Historical Newspapers,Wall Street Journal
"Grain and Soybeans Off, But Metals Keep Rising",5/13/1987,Historical Newspapers,New York Times
British Producer Prices Increase,5/13/1987,Historical Newspapers,Wall Street Journal
Platinum Leads Decline In Precious Metal Prices,5/14/1987,Historical Newspapers,New York Times
U.S. Oil Prices Close at 16-Month Highs Amid Signs of Tighter Gasoline Supplies,5/14/1987,Historical Newspapers,Wall Street Journal
Shares in London Regain High Ground; Frankfurt Stocks Climb but Tokyo Slips,5/14/1987,Historical Newspapers,Wall Street Journal
"Corn and Soybean Prices Rise Sharply Amid Predictions of Hot, Dry Weather",5/15/1987,Historical Newspapers,Wall Street Journal
Fiat and Nissan Hold Talks On Future of Joint Venture,5/15/1987,Historical Newspapers,Wall Street Journal
"Soybeans Rise Again, But Wheat Prices Slip",5/15/1987,Historical Newspapers,New York Times
Inflation Fears Hurt Bond Prices,5/16/1987,Historical Newspapers,New York Times
Precious Metals Spurred By Fears of Inflation,5/16/1987,Historical Newspapers,New York Times
The Insider Scandals Take a Stunning Turn,5/17/1987,Historical Newspapers,New York Times
Federal Reserve's Problem Is How to Prevent Spiral In a Sluggish Economy,5/18/1987,Historical Newspapers,Wall Street Journal
OPEC Hopes to Keep a Delicate Balance,5/18/1987,Historical Newspapers,Wall Street Journal
Business Ethics and the Ethics Business,5/18/1987,Historical Newspapers,Wall Street Journal
Grain and Soybean Prices Drop Sharply After Weekend Showers in the Corn Belt,5/19/1987,Historical Newspapers,Wall Street Journal
Dow Off 13.86 as Stocks Fall Broadly,5/19/1987,Historical Newspapers,New York Times
"U.S. Crude Oil Up a Bit, Nearing $20 a Barrel",5/19/1987,Historical Newspapers,New York Times
"Precious Metals Climb, With Investors Uneasy",5/20/1987,Historical Newspapers,New York Times
Financial Markets Take a Pounding,5/20/1987,Historical Newspapers,The Washington Post
Ailing Bond Prices Take a Late Plunge After Buyers Don't Appear as Expected,5/20/1987,Historical Newspapers,Wall Street Journal
Air-Fare Increases At 2 Lines Studied By Texas Air Corp.,5/21/1987,Historical Newspapers,Wall Street Journal
Stocks Slide Again; Dow Drops 5.41,5/21/1987,Historical Newspapers,New York Times
Cattle Contracts Plunge; Pesticide Study Cited,5/21/1987,Historical Newspapers,New York Times
World Oil Prices Weaken After Sign OPEC Won't Charge More for Crude,5/21/1987,Historical Newspapers,Wall Street Journal
BUSINESS BRIEFS,5/22/1987,Historical Newspapers,Wall Street Journal
Soybeans and Corn Up; Cattle Prices Rebound,5/22/1987,Historical Newspapers,New York Times
Lear Petroleum Selects Chairman's Successor,5/22/1987,Historical Newspapers,New York Times
Exxon Predicts Strong Profit,5/22/1987,Historical Newspapers,New York Times
Silver Prices Plummet And Other Metals Fall,5/23/1987,Historical Newspapers,New York Times
Modest Price Increases Expected for Gasoline,5/23/1987,Historical Newspapers,New York Times
Egypt Satisfied With Paris Club Accord That Reschedules $12 Billion of Its Debt,5/26/1987,Historical Newspapers,Wall Street Journal
"Dollar's Rally Helps Push Down Prices, As Concern Over Inflation Starts to Ebb",5/27/1987,Historical Newspapers,Wall Street Journal
Stock Prices Rally From Opening; Industrials Post Third-Biggest Rise,5/27/1987,Historical Newspapers,Wall Street Journal
Silver Plunges 70 Cents As Precious Metals Fall,5/27/1987,Historical Newspapers,New York Times
Silver Plunges Again In 5th Losing Session,5/28/1987,Historical Newspapers,New York Times
Oil From Persian Gulf: Little Threat Seen Now,5/28/1987,Historical Newspapers,New York Times
Gasoline Heading Back Over $1 a Gallon,5/28/1987,Historical Newspapers,The Washington Post
U.S. Plans Big Revision In Leading Indicators,5/29/1987,Historical Newspapers,New York Times
Wheat Contracts Fall As Harvesting Begins,5/29/1987,Historical Newspapers,New York Times
Gold Contracts Falter As Inflation Fears Ease,5/30/1987,Historical Newspapers,New York Times
Surroundings That Speak of Luxe,5/31/1987,Historical Newspapers,New York Times
Worst Problems May Be Over for Oil Industry,5/31/1987,Historical Newspapers,The Washington Post
"Precious Metal Prices Fall Once Again, But Some Say Two-Week Slide Is Easing",6/2/1987,Historical Newspapers,Wall Street Journal
Drop in Hog Slaughter Sends Pork Prices Up,6/2/1987,Historical Newspapers,New York Times
"Commodity Prices Rise; Gold Up $10, to $456.20",6/3/1987,Historical Newspapers,New York Times
"Interest Rate, Foreign Currency Prices Reverse Course as Fed Shock Wears Off",6/4/1987,Historical Newspapers,Wall Street Journal
Crude Oil Nearly at $20 In 4th Day of Advance,6/4/1987,Historical Newspapers,New York Times
Some Investors View Broken Hill Proprietary With Restraint as Takeover Prospects Subside,6/4/1987,Historical Newspapers,Wall Street Journal
"Bonds Recover Part of Tuesday's Losses, But Many Expect Higher Interest Rates",6/4/1987,Historical Newspapers,Wall Street Journal
"Industrials Gain 42.47, Following Increases in Bond Prices and Dollar",6/4/1987,Historical Newspapers,Wall Street Journal
Cocoa Prices Tumble; Cotton Gains the Limit,6/5/1987,Historical Newspapers,New York Times
Copper Prices Are Boosted as Supplies For Near-Term Delivery Remain Tight,6/5/1987,Historical Newspapers,Wall Street Journal
Hog Prices Rise Again; Soybeans Also Climb,6/6/1987,Historical Newspapers,New York Times
Silver Falls After Gain; Soybeans and Grain Off,6/9/1987,Historical Newspapers,New York Times
"Nicaragua Raises Prices, Wages In Effort to Strengthen Economy",6/9/1987,Historical Newspapers,The Washington Post
Many Oil Traders Are Staying Idle Until OPEC Meets,6/11/1987,Historical Newspapers,Wall Street Journal
PETROLEUM,6/12/1987,Historical Newspapers,Wall Street Journal
"Soybeans, Pork Bellies Soar as Demand Rises",6/12/1987,Historical Newspapers,New York Times
The Silkworm Smokescreen,6/12/1987,Historical Newspapers,The Washington Post
Precious Metals Lower As Inflation Weakens,6/13/1987,Historical Newspapers,New York Times
Price Index Shows a Small Rise,6/13/1987,Historical Newspapers,The Washington Post
Oil Tankers Brave War Risks,6/14/1987,Historical Newspapers,The Washington Post
British Debate Is Seen on Role In Rate System,6/15/1987,Historical Newspapers,Wall Street Journal
Producer Price Index Showed 0.3% Rise in May,6/15/1987,Historical Newspapers,Wall Street Journal
West Texas Crude Oil Ends Day Above $20,6/16/1987,Historical Newspapers,New York Times
Grain Prices Shoot Up as a Heat Wave Raises Chances of Drought in Corn Belt,6/16/1987,Historical Newspapers,Wall Street Journal
Ex-Treasury Chief Is Untouchable No Longer,6/17/1987,Historical Newspapers,Wall Street Journal
15.81 Rise Puts Dow At a High,6/17/1987,Historical Newspapers,New York Times
Chicago Merc's Gold Contract Returns As Precious Metal Prices Fall Further,6/17/1987,Historical Newspapers,Wall Street Journal
Demand for Oil Is Lower Than Expected,6/18/1987,Historical Newspapers,Wall Street Journal
JWT Rejects WPP Offer; To Consider 'Alternatives',6/18/1987,Historical Newspapers,The Washington Post
Stocks Barely Budge After Trading In Small Range on Heavier Volume,6/18/1987,Historical Newspapers,Wall Street Journal
Oil Prices Edge Higher for a Fourth Day As Traders Set Sights on OPEC Meeting,6/18/1987,Historical Newspapers,Wall Street Journal
Stock-Index Prices Show Modest Gains As Triple Witching Eve Remains Calm,6/19/1987,Historical Newspapers,Wall Street Journal
Oil at 17-Month Highs; July Contract Up by 14o,6/20/1987,Historical Newspapers,New York Times
Oil Industry Seeks Relief In Trade Law,6/20/1987,Historical Newspapers,The Washington Post
Law Professor Chosen To Be S.E.C.'s Chief,6/21/1987,Historical Newspapers,New York Times
London Ship Insurers Await U.S. Plan for Persian Gulf,6/21/1987,Historical Newspapers,The Washington Post
No OPEC Price Rise Foreseen,6/22/1987,Historical Newspapers,New York Times
Commodity Prices End Sharply Lower On Dollar's Rise and Widespread Rain,6/23/1987,Historical Newspapers,Wall Street Journal
U.S. Oil Fields Show Signs of an Upturn,6/23/1987,Historical Newspapers,Wall Street Journal
Grain Contracts Sag As Result of Rainfall,6/23/1987,Historical Newspapers,New York Times
Stock Prices Rise to Records Again As the Dollar and Bonds Post Gains,6/23/1987,Historical Newspapers,Wall Street Journal
Signs of Life in Oil Industry,6/24/1987,Historical Newspapers,New York Times
Stock Prices Fall in Quiet Trading On Continued Weakness in Dollar,6/25/1987,Historical Newspapers,Wall Street Journal
Cocoa Prices Continue Surge as Dryness In West Africa and Brazil Fuels Demand,6/25/1987,Historical Newspapers,Wall Street Journal
Foreign Direct Investment In U.S. Grew 13% in 1986,6/25/1987,Historical Newspapers,Wall Street Journal
"OPEC Ministers, Gathering in Vienna, Differ on How to Hold Oil Price Steady",6/25/1987,Historical Newspapers,Wall Street Journal
Oil Prices Bounce Back; OPEC Moves Awaited,6/26/1987,Historical Newspapers,New York Times
Quota Plan Is OPEC's Key Issue,6/26/1987,Historical Newspapers,New York Times
Iraq Is Posing ThreattoOPEC Oil-Price Policy,6/26/1987,Historical Newspapers,Wall Street Journal
New York Merc's New Options Contract For Heating Oil Begins Trading Today,6/26/1987,Historical Newspapers,Wall Street Journal
U.S. Oil Prices Climb Amid Speculation Cartel May Cut 4th-Period Output Quota,6/26/1987,Historical Newspapers,Wall Street Journal
Oil Prices Rise Sharply; Trading Record Is Set,6/27/1987,Historical Newspapers,New York Times
OPEC Cut In Output Expected,6/27/1987,Historical Newspapers,New York Times
OPEC Agrees to keep $18-a-Barrel Oil Price,6/27/1987,Historical Newspapers,The Washington Post
Contract Debut Is Overshadowed By OPEC Session,6/29/1987,Historical Newspapers,Wall Street Journal
Iran Believed to Have Plan to Export Oil Via Two Overland Pipelines to Skirt Gulf,6/29/1987,Historical Newspapers,Wall Street Journal
OPEC Reaches A Compromise On Oil Output,6/29/1987,Historical Newspapers,Wall Street Journal
World Oil Prices Lose Some Early Gains Amid Doubts About OPEC's Output Cap,6/30/1987,Historical Newspapers,Wall Street Journal
Stocks Advance as Oil Shares Rise On Hopes for Higher Crude Prices,6/30/1987,Historical Newspapers,Wall Street Journal
Oil Prices in Small Rise Amid Doubts on OPEC,6/30/1987,Historical Newspapers,New York Times
Norway Aids OPEC Effort,6/30/1987,Historical Newspapers,New York Times
Pork Sharply Higher; Corn Prices in Retreat,7/2/1987,Historical Newspapers,New York Times
Pork Belly and Hog Prices Rise Sharply Despite Report of Pork Industry Growth,7/2/1987,Historical Newspapers,Wall Street Journal
Market Place|,7/3/1987,Historical Newspapers,New York Times
"Stock-Index Prices Rally, Predictably, On Eve of Three-Day Market Weekend",7/3/1987,Historical Newspapers,Wall Street Journal
"With a Soviet Nod, Mexico Gushes Over Nicaragua",7/3/1987,Historical Newspapers,Wall Street Journal
Mutual Funds' Tough Quarter,7/4/1987,Historical Newspapers,New York Times
The Saturn Project: Lost in Space With GM,7/5/1987,Historical Newspapers,The Washington Post
An Appraisal: Attention Switches To Corporate Profits From Dollar,7/6/1987,Historical Newspapers,Wall Street Journal
U.S. Crude Oil Prices Push $21 a Barrel As Worries About Middle East Increase,7/7/1987,Historical Newspapers,Wall Street Journal
Oil Surges to Near $21 While Coffee Prices Fall,7/7/1987,Historical Newspapers,New York Times
Dow Off 7.17 on Inflation Concerns,7/7/1987,Historical Newspapers,New York Times
Market Loses Early Steam; Dow Closes Down 7 Points,7/7/1987,Historical Newspapers,The Washington Post
"Precious Metals Drop, Reacting to Testimony",7/8/1987,Historical Newspapers,New York Times
